source,target
Jacinto Benavente,Caramuel
Marqués de Vadillo,Plaza de Nelson Mandela
General Álvarez de Castro,Plaza de la Cebada
Plaza de Nelson Mandela,Entrada Matadero
Colombia,Santa Engracia 127
Rubén Darío,Plaza de San Ildefonso
Santa Engracia 127,Manuel Silvela
Plaza de los Carros,116a - Plaza de España A
Plaza de Lavapiés,Plaza de la Independencia
Puerta de Toledo,Ronda de Atocha
General Pardiñas,Plaza de Felipe II
Santa María de la Cabeza,Paseo Imperial
Marqués de Zafra,Palacio de Deportes
Pintor Rosales,Fernando el Católico
Junta Municipal Retiro,Entrada Matadero
Ronda de Atocha,Puerta de Toledo
Prosperidad,Velázquez 130
Paseo de la Esperanza,Antonio López
Ermita Santo,Plaza de Lavapiés
Cuatro Caminos 2,San Bernardo
Quevedo,111b - Arcipreste de Hita B
Puerta de Granada,Sainz de Baranda
Conde de Romanones,Segovia 45
Santa Isabel,Puerta del Doce de Octubre
Plaza de San Francisco,Manuel Silvela
San Hermenegildo,Agustín de Betancourt
Caramuel,Segovia 45
Puerta de Madrid,Plaza de Pedro Zerolo
Antón Martín,San Hermenegildo
INEF,Plaza del Cordón
Plaza de San Francisco,Paseo de la Florida
Caramuel,Jacinto Benavente
80a - Atocha A,Puerta de Granada
Marqués de Vadillo,Jacinto Benavente
Plaza de San Francisco,Ermita Santo
Junta Municipal Retiro,Palos de la Frontera
Fernando el Católico,Carlos Cambronero
Paseo de la Esperanza,Plaza de Lavapiés
Casa Encendida,Paseo de la Florida
Marqués de Corbera 12,Avenida Donostiarra
Embajadores 191,Embajadores-Cáceres
Antón Martín,Beata
Marqués de Corbera 12,Avenida Donostiarra
Orense 36,Quevedo
Prosperidad,Plaza de Lavapiés
Prosperidad,Plaza de Lavapiés
Puerta del Ángel,Madrid Río-Yeserías
Puerta de Toledo,Marqués de Vadillo
Embajadores 2,Marqués de Vadillo
80b - Atocha B,Beata
Caramuel,Legazpi
Menéndez Pelayo,Puerta de Madrid
Mártires Concepcionistas,Avenida de América 2
Puerta del Ángel,Plaza de la Cebada
Embajadores 1,Delicias
Embajadores 1,Delicias
Bravo Murillo 44,Fuencarral
Estrecho,Orense 12
Colombia,Avenida Bruselas
Plaza de Pedro Zerolo,Santa Engracia 127
Puerta del Ángel,116b - Plaza de España B
106b - Colón B,Plaza de Castilla 2
San Delfín,Paseo de la Florida
Puerta del Doce de Octubre,Puerta de Granada
Quevedo,Ventura Rodríguez
Puerta de Madrid,Plaza de la Cebada
Camino Vinateros,Ibiza
Paseo de la Esperanza,Palos de la Frontera
Alonso Martínez,Orense 12
Castellana 42,Santa Engracia 127
Caramuel,Legazpi
Puerta del Ángel,Plaza de la Cebada
Puerta del Ángel,Caramuel
Puerta de Toledo,San Bernardo
Castellana 42,Plaza de las Salesas
Cuesta de Moyano,Puerta de Madrid
Caramuel,Plaza de Pedro Zerolo
Príncipe de Vergara,Casa Encendida
Embajada de Italia,General Álvarez de Castro
Paseo Imperial,Caramuel
San Germán 57,María Francisca 1
Príncipe de Vergara,Fuencarral
Cuesta de Moyano,Puerta del Doce de Octubre
Avenida de América 1,Moncloa
Carlos Cambronero,Plaza de Pedro Zerolo
Conde Duque,Fernando el Católico
Quinta Fuente del Berro,Marqués de Zafra
Fernando el Católico,Cuatro Caminos 2
San Delfín,Ermita Santo
Plaza de Lavapiés,Plaza de los Carros
Castellana 106,Canal
Puerta de Madrid,Alcalá
Príncipe de Vergara,Puerta del Ángel
Glorieta de los Cuatro Caminos,General Álvarez de Castro
Castellana 42,Plaza de San Ildefonso
Ortega y Gasset 87,Augusto Figueroa
Puerta del Ángel,Antonio López
Avenida Donostiarra,Juan Bravo 50
General Pardiñas,San Hermenegildo
Ayala,Marqués de Corbera 52
Plaza de Lavapiés,Augusto Figueroa
Marqués de Corbera 52,Concordia
Conde de Casal,Junta Municipal Retiro
Avenida de los Toreros,Carlota O’Neill
Galileo,Plaza de San Ildefonso
Glorieta de Cádiz,Jesús y María
Galileo,Plaza de San Ildefonso
Paseo de la Esperanza,Plaza de San Miguel
Galileo,Plaza de San Ildefonso
Paseo Imperial,Embajadores 1
Agustín de Betancourt,Metro Tetuán
Juan Bravo 50,Puerta de Madrid
Orense 36,Colegio Arquitectos
Orense 12,Francos Rodríguez
Camino Vinateros,Miguel Moya
Plaza de Castilla 2,Camilo José Cela
Velázquez-Diego de León,Plaza de Juan Pujol
Cuatro Caminos 2,Canal
Puerta de Madrid,Cuesta de Moyano
Fuencarral,Plaza de Santa Ana
Fuencarral,Fernando el Católico
Plaza de la Independencia,Plaza de Pedro Zerolo
Santa Isabel,Plaza de la Cebada
Paseo de la Florida,San Delfín
Doctor Fleming,Glorieta de los Cuatro Caminos
Glorieta de Cádiz,Plaza de la Cebada
Puerta de Toledo,Ermita Santo
San Bernardo,Manuel Silvela
Huertas,Plaza del Cordón
Juan Bravo 50,Manuel Silvela
Puerta del Ángel,Segovia 26
Santa Engracia 14,Cuatro Caminos 2
116b - Plaza de España B,Entrada Matadero
116b - Plaza de España B,Entrada Matadero
Quevedo,Plaza de San Ildefonso
Marqués de Vadillo,Santa María de la Cabeza
Plaza de los Carros,Embajadores 1
Prosperidad,Casa Encendida
Galileo,Plaza de San Ildefonso
Espalter,Puerta del Pacífico
Santa Engracia 87,Bravo Murillo 44
Ermita Santo,Marqués de Vadillo
Avenida de América 2,Conde Peñalver
Galileo,Plaza de San Ildefonso
Plaza de las Salesas,Plaza de los Carros
Cartagena,Barceló
Ermita Santo,Marqués de Vadillo
Embajadores 1,San Vicente Ferrer
Colegio Arquitectos,Galileo
Embajadores-Cáceres,Glorieta de Cádiz
Antón Martín,Jaime el Conquistador
Puente de Ventas,Diego de león
Glorieta de los Cuatro Caminos,Colegio Arquitectos
Puerta de Madrid,Puerta del Pacífico
San Delfín,Legazpi
O'Donnell,Augusto Figueroa
Santa Engracia 87,Bravo Murillo 44
Facultad Derecho,José Abascal
Retiro-Ibiza,Menéndez Pelayo
Corazón de María,Quinta Fuente del Berro
Manuel Silvela,Rubén Darío
Reina Victoria,Fernando el Católico
Galileo,Malasaña
Caramuel,Paseo de la Florida
Fernando el Católico,Carlos Cambronero
Desengaño,Fuencarral
Jaime el Conquistador,Palos de la Frontera
Quevedo,San Hermenegildo
Castellana 42,Estrecho
Guzmán el Bueno,San Quintín
Jaime el Conquistador,Jesús y María
Marqués de Vadillo,Jacinto Benavente
Paseo de la Esperanza,Castellana 42
Facultad Biología,Moncloa
Paseo de la Florida,Plaza de los Carros
General Álvarez de Castro,Santa Engracia 127
Narváez,Sierra Toledana
Diego de León 52,Conde Peñalver
General Martínez Campos,Plaza de Juan Pujol
Marqués de Zafra,Conde de Casal
Museo Reina Sofía,Jaime el Conquistador
Embajadores 191,Embajadores 1
Segovia 45,Paseo de la Florida
Colegio Arquitectos,Plaza de la Cebada
Avenida Donostiarra,Alcántara
Madrid Río-Yeserías,Plaza Ramales
Conde Peñalver,Diego de León 52
Alonso Martínez,Santa María de la Cabeza
Conde Duque,Mártires Concepcionistas
Plaza de San Francisco,Plaza de la Independencia
Altamirano,Tres Cruces
San Andrés,Remonta
Plaza de Felipe II,Menéndez Pelayo
Antón Martín,Segovia 45
Velázquez-Diego de León,Plaza de Juan Pujol
Marqués de Zafra,Palacio de Deportes
Plaza de San Francisco,Plaza de la Independencia
Jacinto Benavente,Caramuel
General Pardiñas,Glorieta de los Cuatro Caminos
Antón Martín,Palacio de Oriente
Plaza de los Carros,116a - Plaza de España A
Jaime el Conquistador,Antón Martín
San Hermenegildo,Huertas
Prosperidad,Casa Encendida
Alonso Martínez,Colombia
Ribera de Curtidores,Entrada Matadero
Ribera de Curtidores,Entrada Matadero
Glorieta de los Cuatro Caminos,San Hermenegildo
Embajadores 1,Marqués de Vadillo
Concordia,Ferraz
Ayala,Augusto Figueroa
Plaza de San Francisco,Puerta del Ángel
Parque Roma,Plaza de la Cebada
San Hermenegildo,Fernando el Católico
1b - Puerta del Sol B,Guzmán el Bueno
Plaza de la Cebada,Marqués de Vadillo
80a - Atocha A,Embajadores 2
Bravo Murillo 44,Fernando el Católico
Fuencarral,Ortega y Gasset 87
Santo Domingo,Barceló
Batalla del Salado,Paseo de la Esperanza
Santa Engracia 14,Paseo de la Esperanza
Velázquez-Diego de León,General Álvarez de Castro
80b - Atocha B,Beata
Torre Cepsa,Prosperidad
Francos Rodríguez,Remonta
Delicias,Plaza de Lavapiés
Ayala,Cuesta de Moyano
Madrid Río-Yeserías,Entrada Matadero
Concordia,Plaza de San Miguel
Caramuel,Plaza de Nelson Mandela
Guzmán el Bueno,Barceló
Fernando el Católico,Barceló
Batalla del Salado,Jacinto Benavente
Puerta de Toledo,Casa Encendida
Fernando el Católico,Barceló
Batalla del Salado,Jacinto Benavente
Junta Municipal Retiro,Embajadores 2
Plaza de las Salesas,Puerta de Madrid
Paseo de la Florida,Entrada Matadero
Plaza de San Francisco,116a - Plaza de España A
Santa Engracia 14,Glorieta de los Cuatro Caminos
Velázquez-Diego de León,Palacio de Oriente
Ayala,General Martínez Campos
Santa Isabel,Plaza de Pedro Zerolo
Alonso Martínez,Santa Engracia 87
Avenida Brasilia,Gutierre de Cetina
Plaza de Lavapiés,Puerta de Granada
General Álvarez de Castro,Plaza de la Cebada
General Martínez Campos,116a - Plaza de España A
Plaza de Lavapiés,Puerta de Granada
Paseo Imperial,Santa Isabel
Quevedo,111b - Arcipreste de Hita B
Puerta de Granada,Marqués de Cubas
Fernando el Católico,Segovia 45
Conde Peñalver,Manuel Silvela
Sor Ángela de la Cruz,Mártires Concepcionistas
Plaza de las Salesas,General Álvarez de Castro
Plaza de San Francisco,116a - Plaza de España A
Puente Praga,Paseo de la Esperanza
Diego de León 52,General Álvarez de Castro
Camilo José Cela,Palacio de Deportes
Ronda de Atocha,Tres Cruces
Ventura Rodríguez,Entrada Matadero
Bravo Murillo 44,San Hermenegildo
Fernando el Católico,Fuencarral
General Álvarez de Castro,Plaza de la Cebada
Santa Engracia 127,Plaza de San Ildefonso
Parque Berlín,Plaza de San Ildefonso
Conde Peñalver,Manuel Silvela
Plaza de la Cebada,Pirámides
Méndez Álvaro,Puente de Vallecas
Castellana 106,Santa María de la Cabeza
General Martínez Campos,Niño Jesús
José Abascal,Orense 12
Paseo de la Esperanza,Plaza de San Miguel
Plaza de la Cebada,Jacometrezo
General Álvarez de Castro,San Francisco de Sales
Santa Engracia 87,111b - Arcipreste de Hita B
Jacinto Benavente,Paseo de la Esperanza
Plaza de San Miguel,Santa Isabel
Santa Engracia 127,Plaza de San Ildefonso
Puerta del Ángel,Entrada Matadero
Ermita Santo,Puerta de Toledo
Antonio Maura,Embajadores 2
Estrecho,Santa Engracia 87
Marqués de Vadillo,Antón Martín
Embajadores 1,Entrada Matadero
Conde Duque,Fernando el Católico
Menéndez Pelayo,Alcalá
Parque Santander,José Abascal
General Álvarez de Castro,Santa Engracia 87
San Bernardo,Malasaña
Príncipe de Vergara,Casa Encendida
Ayala,Miguel Moya
Galileo,Fuencarral
Jacinto Benavente,Santa María de la Cabeza
Camino Vinateros,Puerta del Pacífico
Barceló,Estrecho
Parque Santander,José Abascal
General Pardiñas,Valderribas
General Pardiñas,Plaza de la Cebada
General Pardiñas,Alonso Martínez
Glorieta de los Cuatro Caminos,Remonta
Estrecho,San Bernardo
Ibiza,Plaza de Pedro Zerolo
San Delfín,Casa Encendida
Plaza de Lavapiés,Serrano
Concordia,Castellana 42
Paseo de las Delicias,Antón Martín
General Álvarez de Castro,Plaza de Lavapiés
Casa Encendida,Plaza de Lavapiés
Ventura Rodríguez,Puerta del Doce de Octubre
Conde de Romanones,San Vicente Ferrer
Santa Engracia 127,Glorieta de los Cuatro Caminos
Príncipe de Vergara,Fuencarral
General Pardiñas,Glorieta de los Cuatro Caminos
Santa Engracia 127,Glorieta de los Cuatro Caminos
Plaza de Felipe II,Cartagena
José Abascal,Prosperidad
Galileo,Marqués de Cubas
Segovia 45,Marqués de Vadillo
Ayala,Marqués de Zafra
Parque Santander,Glorieta de los Cuatro Caminos
106b - Colón B,Metro Tetuán
Plaza de Nelson Mandela,Embajadores 1
Glorieta de los Cuatro Caminos,Fernando el Católico
San Hermenegildo,Glorieta de los Cuatro Caminos
Orense 36,José Abascal
Carlota O’Neill,Velázquez-Diego de León
Conde Duque,Glorieta de los Cuatro Caminos
Quinta Fuente del Berro,Quintana
Parque Santander,Cuatro Caminos 2
Colegio Arquitectos,Bravo Murillo 44
Fuencarral,Orense 12
Paseo de la Florida,Plaza de Lavapiés
Plaza de la Cebada,Paseo de la Esperanza
Parque Santander,Cuatro Caminos 2
Segovia 45,Plaza de los Carros
Barceló,General Martínez Campos
Plaza de Lavapiés,Guzmán el Bueno
Caramuel,Embajadores 2
Segovia 45,Plaza de la Cebada
Orense 12,Fuencarral
San Vicente Ferrer,Plaza de la Independencia
Plaza de la Independencia,Menéndez Pelayo
San Delfín,Pintor Rosales
Pintor Rosales,Fernando el Católico
Marqués de Corbera 52,Concordia
Doctor Fleming,Puerta de Madrid
Plaza de las Salesas,Fuencarral
Puerta del Pacífico,Cuesta de Moyano
Guzmán el Bueno,Ribera de Curtidores
San Bernardo,Malasaña
Puente de Vallecas,Marqués de Corbera 12
Paseo de la Esperanza,Paseo de la Florida
Segovia 45,Puerta del Ángel
Estrecho,Hortaleza
Entrada Matadero,Plaza de la Cebada
Avenida Donostiarra,Ventas
General Álvarez de Castro,Mártires Concepcionistas
Barceló,Galileo
Diego de león,Puerta de Madrid
Fernando el Católico,Cuatro Caminos 2
General Martínez Campos,Estrecho
Plaza de la Cebada,Caramuel
Juan Bravo 50,Plaza de las Salesas
San Francisco de Sales,Quevedo
Paseo de la Florida,Madrid Río-Yeserías
Juan Bravo 50,Plaza de las Salesas
Plaza de la Cebada,Jacometrezo
Moncloa,San Delfín
Plaza de Lavapiés,Madrid Río-Yeserías
Ermita Santo,Plaza de la Cebada
Antonio López,Paseo de la Esperanza
Plaza de Lavapiés,116a - Plaza de España A
Diego de León 52,Quevedo
Marqués de Vadillo,Antón Martín
San Quintín,Puerta del Ángel
Conde de Romanones,Segovia 45
Rubén Darío,Segovia 45
Paseo de la Esperanza,Segovia 45
General Pardiñas,Fuencarral
Paseo de la Esperanza,Puente Praga
Orense 12,María Francisca 1
San Germán 57,María Francisca 1
Cibeles,General Pardiñas
Avenida de América 2,Pío XII
Retiro-Ibiza,Menéndez Pelayo
Puerta del Pacífico,Puerta del Ángel
Colombia,Avenida Bruselas
Entrada Matadero,Puerta del Ángel
Antón Martín,Segovia 45
San Hermenegildo,Plaza de la Cebada
INEF,Plaza del Cordón
Beata,Embajadores 2
Marqués de Cubas,Menéndez Pelayo
Juan Martín,Retiro-Ibiza
Columela,Retiro-Ibiza
Príncipe de Vergara,Fuencarral
Puerta de Mariano de Cavia,Mártires Concepcionistas
Puerta de Madrid,Barceló
Embajada de Italia,Carlos Cambronero
Plaza de la Cebada,Galileo
Paseo de la Esperanza,Calle Mayor
Miguel Moya,Quevedo
Plaza de San Francisco,Ribera de Curtidores
Moncloa,Plaza de San Miguel
Parque Roma,Cuesta de Moyano
Narváez,Sierra Toledana
Caramuel,Antón Martín
Segovia 45,Miguel Moya
Madrid Río-Yeserías,Antón Martín
San Vicente Ferrer,Alonso Martínez
Puerta de Madrid,Embajadores 2
Conde Duque,Antón Martín
Puerta de Toledo,Marqués de Vadillo
Velázquez,Puerta de Mariano de Cavia
111b - Arcipreste de Hita B,San Hermenegildo
Ortega y Gasset 87,Avenida Donostiarra
Torre Cepsa,Orense 12
Miguel Moya,Quevedo
Avenida Donostiarra,Juan Bravo 50
Galileo,Jacometrezo
Paseo de la Esperanza,Plaza de San Miguel
Plaza del Cordón,Antón Martín
Jaime el Conquistador,Antón Martín
Plaza de Santa Ana,Fuencarral
Conde de Romanones,Embajadores 2
Méndez Álvaro,Antón Martín
Francos Rodríguez,Santa Engracia 87
Augusto Figueroa,Santa María de la Cabeza
Marqués de Vadillo,Beata
Ermita Santo,Plaza de Lavapiés
Marqués de Vadillo,Jaime el Conquistador
Jesús y María,San Hermenegildo
Altamirano,Plaza de la Cebada
Plaza de los Astros,Carlos Cambronero
General Álvarez de Castro,Plaza de Colón
Puerta de Madrid,Diego de león
Camino Vinateros,Mártires Concepcionistas
Doctor Arce 45,José Abascal
Entrada Matadero,Puerta del Ángel
Niño Jesús,Santa Isabel
Puerta de Madrid,Puerta del Ángel Caído
Legazpi,Santa María de la Cabeza
Ventas,Pablo Iglesias
Altamirano,Conde Duque
Fuencarral,Plaza de Santa Ana
Plaza de San Ildefonso,Fernando el Católico
Embajadores 2,Jaime el Conquistador
Plaza de las Salesas,Narváez
San Delfín,Embajadores 2
Guzmán el Bueno,Paseo de la Esperanza
Barceló,Santa Engracia 87
Santa Engracia 87,Fernando el Católico
San Delfín,Plaza de Lavapiés
Guzmán el Bueno,Paseo de la Esperanza
Príncipe de Vergara,Puerta del Ángel
Quevedo,San Hermenegildo
106b - Colón B,Plaza de Castilla 2
Fernando el Católico,Junta Municipal Retiro
Quevedo,Santo Domingo
Paseo de la Florida,San Hermenegildo
Quevedo,Plaza de los Carros
Fuencarral,Glorieta de los Cuatro Caminos
Paseo de las Delicias,Delicias
Desengaño,Santa Engracia 87
Altamirano,Plaza de San Francisco
Barceló,Quevedo
Plaza de la Cebada,Plaza de Pedro Zerolo
Santa Engracia 87,Glorieta de los Cuatro Caminos
Santa María de la Cabeza,Embajadores 2
Cuatro Caminos 2,Quevedo
Puerta del Ángel,Segovia 45
Plaza de la Independencia,Puerta del Ángel Caído
Glorieta de Cádiz,Plaza de Nelson Mandela
Plaza de San Francisco,Palacio de Oriente
Mártires Concepcionistas,Sainz de Baranda
Caramuel,Calle Mayor
Glorieta de los Cuatro Caminos,Serrano
Plaza de San Francisco,116a - Plaza de España A
Segovia 45,Palacio de Oriente
Santo Domingo,Manuel Silvela
Antón Martín,Batalla del Salado
Avenida Donostiarra,Alcántara
General Martínez Campos,Plaza de Juan Pujol
Retiro-Ibiza,Menéndez Pelayo
Barceló,Glorieta de los Cuatro Caminos
Palos de la Frontera,Manuel Silvela
Plaza de Lavapiés,Paseo de la Esperanza
Plaza de Lavapiés,116a - Plaza de España A
Santa Isabel,Segovia 45
Hortaleza,Santa Engracia 87
Madrid Río-Yeserías,Segovia 45
Manuel Silvela,Rubén Darío
Puerta del Pacífico,Puerta de Madrid
Plaza de la Cebada,Guzmán el Bueno
Plaza de la Cebada,Antonio López
Santa Engracia 87,Santo Domingo
Narváez,Sierra Toledana
Puerta de Granada,Entrada Matadero
Embajadores-Cáceres,Menéndez Pelayo
Santa Engracia 87,Santo Domingo
Plaza de Castilla 2,Camilo José Cela
Fuencarral,Glorieta de los Cuatro Caminos
Paseo de la Esperanza,Castellana 42
Ermita Santo,Segovia 45
Cuesta de Moyano,Puerta del Pacífico
Fernando el Católico,Plaza de Pedro Zerolo
Plaza de la Cebada,Segovia 45
Entrada Matadero,Paseo de la Florida
San Germán 57,Orense 12
San Germán 57,Orense 12
Plaza de San Ildefonso,Fernando el Católico
Segovia 45,Jacinto Benavente
Santo Domingo,Barceló
Ayala,General Martínez Campos
Embajadores-Cáceres,Caramuel
Marqués de Vadillo,Glorieta de Cádiz
Glorieta de los Cuatro Caminos,José Abascal
Orense 36,Colegio Arquitectos
San Bernardo,Malasaña
Marqués de Vadillo,Glorieta de Cádiz
Fernando el Católico,Doce de Octubre
Plaza de los Carros,Conde Duque
Ronda de Atocha,Plaza de Pedro Zerolo
Conde de Casal,Puerta del Doce de Octubre
López Pozas,Velázquez-Diego de León
Estrecho,Plaza de la Cebada
Cartagena,Plaza de Felipe II
Beata,Embajadores 2
Embajadores 2,Beata
Pío Baroja,Cuesta de Moyano
Paseo de la Florida,Plaza de San Francisco
Santa Engracia 87,Guzmán el Bueno
Glorieta de los Cuatro Caminos,Santa Engracia 14
San Germán 57,Barceló
Ermita Santo,Plaza de la Cebada
Puerta del Doce de Octubre,Huertas
Quintana,San Bernardo
Paseo Imperial,Ribera de Curtidores
Quintana,San Bernardo
Marqués de Vadillo,Jacinto Benavente
Plaza de las Salesas,General Álvarez de Castro
Paseo Imperial,Marqués de Vadillo
Metro Tetuán,Colombia
Plaza de Lavapiés,Entrada Matadero
Santa Engracia 14,Santa Engracia 87
Orense 12,Plaza de San Ildefonso
Casa Encendida,Prosperidad
Plaza de Lavapiés,Entrada Matadero
Plaza de San Miguel,Santa Isabel
Marqués de Vadillo,Glorieta de Cádiz
Antón Martín,Ibiza
Quinta Fuente del Berro,Quintana
Segovia 45,Plaza de la Cebada
Parque Santander,Glorieta de los Cuatro Caminos
Antón Martín,Ibiza
Embajada de Italia,General Álvarez de Castro
Plaza del Encuentro,Camino Vinateros
Puerta del Ángel,Segovia 45
Marqués de Vadillo,116b - Plaza de España B
Plaza del Encuentro,Camino Vinateros
Plaza de Lavapiés,Plaza de Santa Ana
Ayala,O'Donnell
Junta Municipal Retiro,Entrada Matadero
Plaza de Lavapiés,Serrano
Plaza de Lavapiés,Marqués de Vadillo
Jaime el Conquistador,Antonio López
José Abascal,Altamirano
Plaza de Lavapiés,Antón Martín
Plaza de las Salesas,Fuencarral
Conde Peñalver,Diego de León 52
Embajadores-Cáceres,Plaza de Lavapiés
Puerta de Toledo,Jacinto Benavente
Santa María de la Cabeza,Plaza de la Cebada
Guzmán el Bueno,Barceló
Fuencarral,Glorieta de los Cuatro Caminos
Puerta de Toledo,Casa Encendida
José Abascal,Prosperidad
Puerta de Madrid,Barceló
Paseo de la Esperanza,Paseo de la Florida
Paseo de la Florida,Caramuel
Paseo de las Delicias,Plaza de la Cebada
Embajada de Italia,Carlos Cambronero
Glorieta de los Cuatro Caminos,Santa Engracia 87
Palos de la Frontera,Plaza de la Cebada
Plaza de Felipe II,Sainz de Baranda
Puente Praga,Embajadores 1
Plaza de la Cebada,Santa María de la Cabeza
Puente Praga,Embajadores 1
Puerta de Granada,Puerta de Madrid
Alonso Martínez,Santa Engracia 127
Doctor Fleming,Puerta de Madrid
Mártires Concepcionistas,Camilo José Cela
Conde Duque,Fernando el Católico
Plaza de Pedro Zerolo,Retiro-Ibiza
Caramuel,Jacinto Benavente
Caramuel,Antón Martín
Puerta de Madrid,Puerta del Pacífico
Remonta,Cuatro Caminos 2
Mártires Concepcionistas,Camilo José Cela
Embajadores 2,San Quintín
General Pardiñas,111b - Arcipreste de Hita B
Segovia 45,Plaza de Pedro Zerolo
Ermita Santo,Paseo de la Florida
Puente de Ventas,Ayala
Plaza de San Francisco,Manuel Silvela
Fernando el Católico,Estrecho
Diego de León 52,Plaza de Juan Pujol
Glorieta de Cádiz,Paseo de la Florida
Embajadores 2,Glorieta de Cádiz
Cibeles,Plaza de los Astros
Plaza de la Cebada,Puente Praga
Paseo de Moret,Conde Duque
Moncloa,Plaza de San Miguel
San Hermenegildo,Quevedo
Embajadores 2,Entrada Matadero
Avenida Donostiarra,Plaza de Felipe II
San Francisco de Sales,Diego de León 52
Desengaño,Fuencarral
Palos de la Frontera,Paseo de la Habana 42
Orense 12,Plaza de San Ildefonso
Marqués de Vadillo,Santa María de la Cabeza
Camino Vinateros,Gutierre de Cetina
Colombia,Santa Engracia 127
Paseo de la Florida,Madrid Río-Yeserías
Colombia,Quevedo
Colombia,Avenida Bruselas
Carlos Cambronero,Plaza de la Cebada
Quevedo,Juan Bravo 50
Cuatro Caminos 2,Alberto Alcocer
Conde Duque,Puerta de Madrid
Puerta de Toledo,Marqués de la Ensenada
Embajadores-Cáceres,Jesús y María
General Pardiñas,Fuencarral
Plaza de Nelson Mandela,Santa María de la Cabeza
Marqués de Corbera 12,Marqués de Corbera 52
Guzmán el Bueno,Plaza de San Ildefonso
Ronda de Atocha,Tres Cruces
Plaza de Felipe II,Juan Bravo 50
Ronda de Atocha,Tres Cruces
Almadén,Puerta del Doce de Octubre
Quevedo,Plaza de San Francisco
Plaza de Felipe II,Castelló
Jaime el Conquistador,Antón Martín
Príncipe de Vergara,Fuencarral
Plaza de Lavapiés,Entrada Matadero
Paseo de la Esperanza,Calle Mayor
116b - Plaza de España B,Ermita Santo
Alonso Martínez,Altamirano
Conde Duque,Fernando el Católico
Segovia 45,Carretas
Augusto Figueroa,Quevedo
Francos Rodríguez,Quevedo
Ribera de Curtidores,Marqués de Vadillo
Colegio Arquitectos,Alcalá
Hortaleza,Fernando el Católico
Doctor Arce 45,José Abascal
Ermita Santo,Entrada Matadero
Augusto Figueroa,Manuel Silvela
Conde Peñalver,Manuel Silvela
Plaza de las Salesas,Narváez
Paseo de la Esperanza,Plaza de San Miguel
Santa María de la Cabeza,Fernando el Católico
Serrano,Augusto Figueroa
Paseo de la Esperanza,Puerta del Ángel Caído
Quevedo,Barceló
Fernando el Católico,San Bernardo
Sainz de Baranda,Puerta de Granada
Marqués de Vadillo,Puerta de Toledo
Doctor Arce 45,Plaza de las Salesas
Plaza de la Provincia,Hortaleza
Plaza de Felipe II,Sainz de Baranda
Plaza de los Astros,Puerta del Doce de Octubre
Camilo José Cela,Palacio de Deportes
Ibiza,Plaza de Pedro Zerolo
Camino Vinateros,Miguel Moya
Concordia,Antón Martín
Avenida Donostiarra,Juan Bravo 50
Bravo Murillo 44,Santo Domingo
Cea Bermúdez,Plaza de San Francisco
Fernando el Católico,Francos Rodríguez
Santa Isabel,Plaza de la Cebada
Puerta de Toledo,Puerta del Ángel
Entrada Matadero,Embajadores 2
Guzmán el Bueno,Glorieta de los Cuatro Caminos
Plaza de los Astros,Puerta del Pacífico
Plaza de las Salesas,General Álvarez de Castro
Prosperidad,Barceló
Diego de León 52,Espalter
San Delfín,Puerta del Ángel
Segovia 45,Glorieta de Cádiz
Caramuel,Marqués de Vadillo
Segovia 45,Calle Mayor
Paseo de la Florida,Caramuel
Retiro-Ibiza,Menéndez Pelayo
San Germán 57,Puerta del Ángel
Quevedo,Fernando el Católico
Francos Rodríguez,Santa Engracia 87
Ibiza,Plaza de Felipe II
Quevedo,Glorieta de los Cuatro Caminos
Quevedo,Glorieta de los Cuatro Caminos
Embajadores-Cáceres,Plaza de Lavapiés
Entrada Matadero,Embajadores-Cáceres
Plaza de los Carros,Galileo
Plaza de Lavapiés,Colegio Arquitectos
Casa Encendida,Plaza de Lavapiés
Plaza de Felipe II,Puerta de Granada
Santo Domingo,Barceló
Embajadores-Cáceres,Menéndez Pelayo
Antón Martín,Plaza de la Cebada
Beata,Cibeles
Manuel Silvela,Rubén Darío
Segovia 45,Palacio de Oriente
Desengaño,Fernando el Católico
Glorieta de los Cuatro Caminos,José Abascal
Palos de la Frontera,Ribera de Curtidores
San Delfín,Casa Encendida
Caramuel,Plaza de la Cebada
Santa María de la Cabeza,Entrada Matadero
San Hermenegildo,Segovia 45
Serrano,Desengaño
Puerta del Ángel Caído,Plaza de Lavapiés
Ribera de Curtidores,Segovia 45
Príncipe de Vergara,Plaza de las Salesas
Plaza de Felipe II,Sainz de Baranda
San Andrés,116a - Plaza de España A
Paseo de la Florida,Plaza de Lavapiés
Paseo de la Esperanza,General Martínez Campos
Entrada Matadero,Puerta del Ángel
Entrada Matadero,Puerta del Ángel
Paseo de la Florida,116b - Plaza de España B
Alonso Martínez,Museo Reina Sofía
Doctor Lozano,80a - Atocha A
Quinta Fuente del Berro,Quintana
Antón Martín,Puerta del Ángel
López Pozas,Velázquez-Diego de León
Beata,Embajadores 2
Plaza de Lavapiés,Serrano
Santa María de la Cabeza,Jacinto Benavente
Paseo de la Esperanza,Paseo de la Florida
Jacinto Benavente,Plaza de la Independencia
Jacinto Benavente,Plaza de la Independencia
Legazpi,Santa María de la Cabeza
Plaza de Juan Pujol,Plaza de San Francisco
San Andrés,Plaza de la Cebada
Sierra Toledana,Camino Vinateros
Paseo de la Florida,Segovia 45
